 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
809
 -0.1542083123059679E+01   0.2256859691609046E-17   0.2599209871436250E+00  -0.3604352677687010E+02
 -0.1557582094946880E+01   0.1704903954533413E-17   0.2663177022497646E+00  -0.3673651332554311E+02
 -0.1573236841919072E+01   0.9235353804074372E-18   0.2727336543459442E+00  -0.3673671677125441E+02
 -0.1589048929620564E+01  -0.1404106333925560E-17   0.2791689415708213E+00  -0.3673660805440679E+02
 -0.1605019939431441E+01   0.0000000000000000E+00   0.2856236626391260E+00  -0.1200000000000000E+03
 -0.1621151468625721E+01  -0.3820291556615504-307   0.2920979168450240E+00  -0.7077392606417773E+03
 -0.1637445130531098E+01   0.3727185083026978-307   0.2985918040654937E+00  -0.7077882185560409E+03
 -0.1653902554690296E+01   0.4048091836146055-307   0.3051054247637230E+00  -0.7077312909310554E+03
 -0.1670525387024037E+01  -0.2303613970061686-307   0.3116388799925170E+00  -0.7075955129777984E+03
 -0.1687315289995654E+01  -0.1060327187705919E-17   0.3181922713977271E+00  -0.3673669470041094E+02
 -0.1704273942777351E+01   0.1111810477793483-278   0.3247657012216921E+00  -0.6418971800792859E+03
 -0.1721403041418146E+01   0.1042049457989815E-17   0.3313592723067014E+00  -0.3604362813529326E+02
 -0.1738704299013485E+01   0.1231003744018448E-17   0.3379730880984656E+00  -0.3673666047752633E+02
 -0.1756179445876577E+01   0.3511792539374249E-17   0.3446072526496128E+00  -0.3604337014587187E+02
 -0.1773830229711442E+01  -0.2430268410407576E-17   0.3512618706231958E+00  -0.3673626145311977E+02
 -0.1791658415787699E+01   0.1619288586755549E-17   0.3579370472962169E+00  -0.3604359389294800E+02
 -0.1809665787117112E+01  -0.1359630344950347E-17   0.3646328885631699E+00  -0.3673663384184927E+02
 -0.1827854144631917E+01   0.0000000000000000E+00   0.3713495009395977E+00  -0.1200000000000000E+03
 -0.1846225307364923E+01  -0.2010825549316577E-17   0.3780869915656663E+00  -0.3673644045598196E+02
 -0.1864781112631444E+01   0.2384684761104268E-16   0.3848454682097563E+00  -0.3668882679982831E+02
 -0.1883523416213050E+01   0.1906045069970702E-17   0.3916250392720705E+00  -0.3604357347835177E+02
 -0.1902454092543162E+01  -0.3879802962658528E-17   0.3984258137882584E+00  -0.3604332443520251E+02
 -0.1921575034894512E+01  -0.5672016460400983-307   0.4052479014330532E+00  -0.7070474137297488E+03
 -0.1940888155568502E+01   0.5747796228211434-307   0.4120914125239343E+00  -0.7070339619079259E+03
 -0.1960395386086446E+01  -0.8423716626599594E-18   0.4189564580247984E+00  -0.3673673968314186E+02
 -0.1980098677382744E+01   0.5567776110550861-307   0.4258431495496489E+00  -0.7066456307570944E+03
 -0.2000000000000000E+01  -0.7798574740577023-307   0.4327515993663050E+00  -0.7067264918515828E+03
 -0.2020099324185751E+01   0.1974377884473138E-17   0.4396812263054934E+00  -0.3673647245144439E+02
 -0.2040400639787863E+01  -0.5798751648261483-307   0.4466328336405621E+00  -0.7070194932043582E+03
 -0.2060905976751818E+01  -0.7157829895178001E-18   0.4536065355888151E+00  -0.3673675797611418E+02
 -0.2081617385423361E+01   0.8097320003786185-307   0.4606024470360977E+00  -0.7066806834833715E+03
 -0.2102536936753516E+01   0.2835764040049141E-17   0.4676206835405862E+00  -0.3604348839309512E+02
 -0.2123666722505680E+01   0.4150600458482689E-17   0.4746613613365974E+00  -0.3604330223434063E+02
 -0.2145008855464745E+01   0.5035841442956600-307   0.4817245973384024E+00  -0.7067138329371468E+03
 -0.2166565469648392E+01  -0.8691779241640432E-18   0.4888105091440745E+00  -0.3673673974048000E+02
 -0.2188338720520450E+01  -0.9453778815877851E-18   0.4959192150393381E+00  -0.3673672906926208E+02
 -0.2210330785206438E+01   0.1827002669183383E-17   0.5030508340014470E+00  -0.3673653529612989E+02
 -0.2232543862711241E+01   0.2042833572782541E-15   0.5102054857030712E+00  -0.3555674673388094E+02
 -0.2254980174139010E+01   0.2254922484182471E-17   0.5173832905162055E+00  -0.3673640172095096E+02
 -0.2277641962915239E+01   0.8306268379977348E-23   0.5245843695160891E+00  -0.3604365338911715E+02
 -0.2300531495011090E+01  -0.8712401655650824-307   0.5318088444851521E+00  -0.7065501428711968E+03
 -0.2323651059169967E+01  -0.2527901140115496E-18   0.5390568379169651E+00  -0.3673679565182349E+02
 -0.2347002967136379E+01   0.5278802396023212-307   0.5463284730202222E+00  -0.7066300924037233E+03
 -0.2370589553887076E+01  -0.6203851351615402E-16   0.5536238737227216E+00  -0.3597543692067948E+02
 -0.2394413177864541E+01   0.2101222477713756E-17   0.5609431646753837E+00  -0.3673646749150142E+02
 -0.2418476221212807E+01   0.4143668439385912-307   0.5682864712562707E+00  -0.7068599143018170E+03
 -0.2442781090015650E+01   0.2023466795203451E-17   0.5756539195746300E+00  -0.3673649570663972E+02
 -0.2467330214537172E+01   0.4315158329179409E-16   0.5830456364749523E+00  -0.3601034354046551E+02
 -0.2492126049464812E+01   0.0000000000000000E+00   0.5904617495410494E+00  -0.3604365338911715E+02
 -0.2517171074154785E+01   0.6844020902530901-307   0.5979023871001465E+00  -0.7063416579960026E+03
 -0.2542467792880003E+01   0.2667945859549525E-17   0.6053676782269919E+00  -0.3604352432291321E+02
 -0.2568018735080465E+01  -0.1148529827343425E-17   0.6128577527479822E+00  -0.3604362962579078E+02
 -0.2593826455616197E+01   0.2236523075926612-307   0.6203727412453108E+00  -0.7069594481207773E+03
 -0.2619893535022701E+01  -0.2926507553469070E-17   0.6279127750611260E+00  -0.3604350116400859E+02
 -0.2646222579768989E+01   0.1326825819813541E-17   0.6354779863017130E+00  -0.3673667623604939E+02
 -0.2672816222518204E+01   0.1266658115847350E-15   0.6430685078416817E+00  -0.3582039493836354E+02
 -0.2699677122390868E+01  -0.1010458004572750E-17   0.6506844733281878E+00  -0.3673672941441676E+02
 -0.2726807965230762E+01  -0.1813535413586856E-22   0.6583260171851565E+00  -0.3604365338911715E+02
 -0.2754211463873494E+01  -0.4147022303857029-307   0.6659932746175345E+00  -0.7068053229283259E+03
 -0.2781890358417746E+01  -0.1930531688019843E-15   0.6736863816155475E+00  -0.3583337503251067E+02
 -0.2809847416499271E+01   0.8506155980452277E-17   0.6814054749589857E+00  -0.3604242769574962E+02
 -0.2838085433567627E+01  -0.1198971668083797E-17   0.6891506922215038E+00  -0.3673670370935167E+02
 -0.2866607233165693E+01   0.1778704533146927E-16   0.6969221717749297E+00  -0.3494445323634450E+02
 -0.2895415667212000E+01  -0.6576871700993862E-23   0.7047200527936025E+00  -0.3673680056967710E+02
 -0.2924513616285896E+01  -0.3498894121877168-307   0.7125444752587242E+00  -0.7069501754724548E+03
 -0.2953903989915584E+01  -0.4628932168931117-307   0.7203955799627142E+00  -0.7066660982152341E+03
 -0.2983589726869031E+01   0.8811678306400900-307   0.7282735085136096E+00  -0.7060181439207812E+03
 -0.3013573795447841E+01   0.3960990852065498-307   0.7361784033394569E+00  -0.7068135204882735E+03
 -0.3043859193784036E+01   0.1247105468201356E-16   0.7441104076927342E+00  -0.3604116157470771E+02
 -0.3074448950139858E+01   0.0000000000000000E+00   0.7520696656547811E+00  -0.1200000000000000E+03
 -0.3105346123210559E+01  -0.4778187834610037E-17   0.7600563221402625E+00  -0.3604329181972414E+02
 -0.3136553802430248E+01  -0.3147202061813225E-16   0.7680705229016297E+00  -0.3777783579524099E+02
 -0.3168075108280797E+01  -0.2680684104844706-307   0.7761124145336109E+00  -0.7066692456754636E+03
 -0.3199913192603868E+01  -0.1739956290397875E-19   0.7841821444777142E+00  -0.3535050620738274E+02
 -0.3232071238916071E+01   0.4486532469080334E-18   0.7922798610267563E+00  -0.3604365028715656E+02
 -0.3264552462727278E+01  -0.1169323104079009E-22   0.8004057133293933E+00  -0.3535050620855721E+02
 -0.3297360111862152E+01  -0.1832962231958843E-15   0.8085598513946863E+00  -0.3545107290463045E+02
 -0.3330497466784894E+01  -0.9993083545837997-307   0.8167424260966658E+00  -0.7058458021822737E+03
 -0.3363967840927262E+01  -0.2230745171337760E-17   0.8249535891789239E+00  -0.3604357881498713E+02
 -0.3397774581019879E+01   0.5965222718749595E-17   0.8331934932592426E+00  -0.3604312408367677E+02
 -0.3431921067426891E+01   0.7466110211332084-307   0.8414622918341861E+00  -0.7061245389152590E+03
 -0.3466410714483952E+01   0.2973233713149529E-15   0.8497601392837771E+00  -0.3525471582237545E+02
 -0.3501246970839639E+01   0.4874751022033810E-16   0.8580871908761339E+00  -0.3737861016405815E+02
 -0.3536433319800280E+01  -0.5528557704456533E-17   0.8664436027721627E+00  -0.3604321130170401E+02
 -0.3571973279678259E+01  -0.4673422956639557E-17   0.8748295320302437E+00  -0.3604333966716755E+02
 -0.3607870404143805E+01  -0.5372212550944774-307   0.8832451366109539E+00  -0.7055559524328340E+03
 -0.3644128282580337E+01   0.3260051667559644E-17   0.8916905753817936E+00  -0.3604350285082309E+02
 -0.3680750540443359E+01  -0.3960837403494300E-15   0.9001660081219297E+00  -0.3519920340330864E+02
 -0.3717740839622981E+01   0.2584019922639473-307   0.9086715955269571E+00  -0.7065690773292994E+03
 -0.3755102878810075E+01  -0.5130491165945393E-16   0.9172074992137117E+00  -0.3735227188006835E+02
 -0.3792840393866098E+01  -0.1587404719528339E-17   0.9257738817250258E+00  -0.3673666180564079E+02
 -0.3830957158196659E+01   0.2032799800827772E-15   0.9343709065345835E+00  -0.3309765197855446E+02
 -0.3869456983128817E+01   0.5960132118076211E-15   0.9429987380517282E+00  -0.3413322398858030E+02
 -0.3908343718292179E+01   0.2034947479676504E-15   0.9516575416263400E+00  -0.3378621604784386E+02
 -0.3947621252003830E+01  -0.1913393419772409E-15   0.9603474835536838E+00  -0.3441499576732021E+02
 -0.3987293511657121E+01  -0.2695360444294847E-15   0.9690687310793258E+00  -0.3515362922229445E+02
 -0.4027364464114393E+01  -0.4769472201202353E-17   0.9778214524040036E+00  -0.3604335346978689E+02
 -0.4067838116103602E+01   0.2143976327262652E-17   0.9866058166885820E+00  -0.3535049116223691E+02
 -0.4108718514618960E+01  -0.7839582017569937E-17   0.9954219940589639E+00  -0.3535030651996744E+02
 -0.4150009747325616E+01   0.4655628271378016E-15   0.1004270155611081E+01  -0.3282032196563096E+02
 -0.4191715942968377E+01   0.8746090802193833E-23   0.1013150473415835E+01  -0.3333560318801494E+02
 -0.4233841271784526E+01   0.2091401450189616E-15   0.1022063120524140E+01  -0.3566968221764902E+02
 -0.4276389945920834E+01   0.1800947184451219E-16   0.1031008270971875E+01  -0.3479055621845420E+02
 -0.4319366219854706E+01   0.6393069000014910E-16   0.1039986099784968E+01  -0.3417064009978455E+02
 -0.4362774390819630E+01   0.2645304867573225E-17   0.1048996782984384E+01  -0.3604356632151227E+02
 -0.4406618799234815E+01   0.2442732933602237E-15   0.1058040497591251E+01  -0.3254646944527445E+02
 -0.4450903829139238E+01   0.1467009907135800E-16   0.1067117421631914E+01  -0.3494474796265582E+02
 -0.4495633908629971E+01  -0.3761125602713123E-17   0.1076227734143060E+01  -0.3494502196808947E+02
 -0.4540813510304973E+01   0.3491044129358256E-16   0.1085371615176748E+01  -0.3465643947311262E+02
 -0.4586447151710304E+01  -0.6015835398096012E-16   0.1094549245805677E+01  -0.3512046508111990E+02
 -0.4632539395791825E+01   0.2957645998612874E-16   0.1103760808128244E+01  -0.3327102398413184E+02
 -0.4679094851351468E+01   0.1318631976354610E-14   0.1113006485273739E+01  -0.3319661942472442E+02
 -0.4726118173508065E+01   0.2842901436564067E-14   0.1122286461407623E+01  -0.3324328555309179E+02
 -0.4773614064162812E+01   0.2677648172772805E-17   0.1131600921736531E+01  -0.3673646672795237E+02
 -0.4821587272469447E+01  -0.2237903194850412E-14   0.1140950052513714E+01  -0.3360311896106575E+02
 -0.4870042595309074E+01   0.1664951149450773E-17   0.1150334041044185E+01  -0.3604362158796586E+02
 -0.4918984877769838E+01   0.5612298714208964E-17   0.1159753075689974E+01  -0.3453955828057108E+02
 -0.4968419013631389E+01   0.1007305522465072E-14   0.1169207345875420E+01  -0.3431178482454096E+02
 -0.5018349945854202E+01   0.5220160978089048E-16   0.1178697042092498E+01  -0.3333546734347097E+02
 -0.5068782667073832E+01   0.1028456401777939E-15   0.1188222355906130E+01  -0.3558840881434562E+02
 -0.5119722220100146E+01  -0.7194865359322705E-17   0.1197783479959452E+01  -0.3535036321366181E+02
 -0.5171173698421540E+01  -0.2745344180631941E-16   0.1207380607979260E+01  -0.3355868933612658E+02
 -0.5223142246714237E+01  -0.3675398598161874E-16   0.1217013934781356E+01  -0.3340452103942459E+02
 -0.5275633061356737E+01   0.5888677581812791E-15   0.1226683656275968E+01  -0.3446530614733115E+02
 -0.5328651390949375E+01   0.9863324217860327E-15   0.1236389969472975E+01  -0.3402333273449237E+02
 -0.5382202536839144E+01  -0.2040787186777508E-17   0.1246133072487614E+01  -0.3563816858348412E+02
 -0.5436291853649797E+01   0.2036328247975890E-16   0.1255913164545768E+01  -0.3425177228628075E+02
 -0.5490924749817229E+01  -0.6949759758577749E-17   0.1265730445989459E+01  -0.3494498485508280E+02
 -0.5546106688130300E+01  -0.5294408440609207E-18   0.1275585118282228E+01  -0.3673678890696970E+02
 -0.5601843186277044E+01   0.5250182445224694E-17   0.1285477384014860E+01  -0.3604336892663066E+02
 -0.5658139817396412E+01   0.2011989797986932E-16   0.1295407446910838E+01  -0.3384637761661330E+02
 -0.5715002210635489E+01  -0.3541957014290258E-14   0.1305375511831673E+01  -0.3175629203865265E+02
 -0.5772436051712409E+01   0.2907652550459692E-15   0.1315381784782639E+01  -0.3485825586160679E+02
 -0.5830447083484851E+01   0.1278836111318884E-16   0.1325426472918483E+01  -0.3535009704215565E+02
 -0.5889041106524266E+01  -0.8146283018175782E-17   0.1335509784548691E+01  -0.3465731782271290E+02
 -0.5948223979695887E+01  -0.3592009416605503E-16   0.1345631929143443E+01  -0.3433848496000392E+02
 -0.6008001620744573E+01  -0.7658010945270654E-17   0.1355793117338952E+01  -0.3535036279385812E+02
 -0.6068380006886501E+01   0.7445129629379593E-17   0.1365993560943366E+01  -0.3535037169738241E+02
 -0.6129365175406872E+01   0.7428217669415371E-17   0.1376233472942343E+01  -0.3535037333857802E+02
 -0.6190963224263549E+01  -0.4717540028437151E-17   0.1386513067504576E+01  -0.3512732862037463E+02
 -0.6253180312696816E+01   0.2654733443743150E-15   0.1396832559987875E+01  -0.3194912317276098E+02
 -0.6316022661845234E+01   0.2988190157919324E-16   0.1407192166944646E+01  -0.3396408055100689E+02
 -0.6379496555367721E+01  -0.7748585737521787E-17   0.1417592106127533E+01  -0.3494497880287204E+02
 -0.6443608340071832E+01   0.1950056596664023E-16   0.1428032596495564E+01  -0.3327105090234195E+02
 -0.6508364426548391E+01  -0.5092665301520145E-16   0.1438513858219559E+01  -0.3340447441106557E+02
 -0.6573771289812496E+01   0.1582798902721918E-15   0.1449036112688164E+01  -0.3264220212607948E+02
 -0.6639835469950953E+01  -0.1309702332682852-306   0.1459599582513796E+01  -0.7046266101250889E+03
 -0.6706563572776251E+01  -0.6989701927321336E-16   0.1470204491537935E+01  -0.3364539561863432E+02
 -0.6773962270487040E+01  -0.5628031945028712E-14   0.1480851064837896E+01  -0.3262848523797390E+02
 -0.6842038302335320E+01  -0.2016879141535129E-13   0.1491539528731671E+01  -0.3017350809518139E+02
 -0.6910798475300301E+01  -0.8096095370395376E-14   0.1502270110784936E+01  -0.3029795096101660E+02
 -0.6980249664769024E+01  -0.1167741611594922E-14   0.1513043039816010E+01  -0.3404929968795968E+02
 -0.7050398815223862E+01   0.2707811392304045E-16   0.1523858545902390E+01  -0.3409761405184501E+02
 -0.7121252940936868E+01   0.9514681887258024E-14   0.1534716860386671E+01  -0.3230675234480365E+02
 -0.7192819126671182E+01   0.8254347742043138E-16   0.1545618215882218E+01  -0.3299899966012658E+02
 -0.7265104528389400E+01  -0.1559107665056902E-13   0.1556562846279530E+01  -0.3160029327285376E+02
 -0.7338116373969131E+01   0.1647582061139344E-13   0.1567550986752156E+01  -0.3057041503877670E+02
 -0.7411861963925717E+01   0.3690689228768322E-14   0.1578582873762566E+01  -0.3015667789006240E+02
 -0.7486348672142203E+01   0.5744235169316354E-16   0.1589658745068894E+01  -0.3384609354159622E+02
 -0.7561583946606681E+01  -0.8361177756254720E-14   0.1600778839730067E+01  -0.3251256174187792E+02
 -0.7637575310156990E+01   0.4804700169795468E-16   0.1611943398112531E+01  -0.3309916259778234E+02
 -0.7714330361232956E+01   0.1258956856845646E-13   0.1623152661896316E+01  -0.3211898277786459E+02
 -0.7791856774636154E+01   0.9357393938577963E-16   0.1634406874081310E+01  -0.3355826210552922E+02
 -0.7870162302297331E+01  -0.3458482280049427E-15   0.1645706278993016E+01  -0.3407879737596124E+02
 -0.7949254774051505E+01   0.1497808388616635E-15   0.1657051122289025E+01  -0.3299873192119689E+02
 -0.8029142098420909E+01   0.3753804859636392E-16   0.1668441650966094E+01  -0.3425158932645933E+02
 -0.8109832263405721E+01   0.1785864093548437E-15   0.1679878113364204E+01  -0.3217234550182093E+02
 -0.8191333337282840E+01  -0.5126638202126231E-15   0.1691360759175371E+01  -0.3147908680454828E+02
 -0.8273653469412642E+01   0.3481638604038837E-16   0.1702889839447824E+01  -0.3330277503063818E+02
 -0.8356800891053780E+01   0.2584779821801316E-13   0.1714465606593994E+01  -0.2987475243861763E+02
 -0.8440783916186311E+01   0.2309423964536292E-16   0.1726088314396432E+01  -0.3235477144293914E+02
 -0.8525610942342954E+01   0.5162032278676283E-16   0.1737758218012743E+01  -0.3257789818958727E+02
 -0.8611290451448822E+01  -0.8592362092659165E-17   0.1749475573984158E+01  -0.3465732508783309E+02
 -0.8697831010669489E+01   0.4808391437341700E-13   0.1761240640239144E+01  -0.3044494242837862E+02
 -0.8785241273267651E+01  -0.1723310045288198E-14   0.1773053676105091E+01  -0.2976881514950809E+02
 -0.8873529979468376E+01  -0.5449427272155792E-15   0.1784914942307997E+01  -0.3163054200422483E+02
 -0.8962705957333025E+01   0.6648691288151177E-14   0.1796824700983735E+01  -0.2978006520851352E+02
 -0.9052778123642028E+01  -0.3759196879256461E-17   0.1808783215682005E+01  -0.3604355360459157E+02
 -0.9143755484786405E+01  -0.2626959877642482E-15   0.1820790751374776E+01  -0.3292918421194791E+02
 -0.9235647137668389E+01  -0.4484653485123223E-15   0.1832847574462374E+01  -0.3110910714618537E+02
 -0.9328462270610990E+01   0.2777899764867266E-16   0.1844953952779199E+01  -0.3340456893257313E+02
 -0.9422210164276759E+01   0.1413197957798533E-13   0.1857110155599534E+01  -0.3162007292085723E+02
 -0.9516900192595795E+01  -0.5618228994525895E-15   0.1869316453648479E+01  -0.3193220490481193E+02
 -0.9612541823703008E+01   0.7944913924187689E-13   0.1881573119102413E+01  -0.3036765267124758E+02
 -0.9709144620884851E+01  -0.1455642013832306E-13   0.1893880425600527E+01  -0.3198805391997632E+02
 -0.9806718243535604E+01  -0.4220169848687628E-13   0.1906238648248104E+01  -0.2828850659175880E+02
 -0.9905272448123172E+01   0.2125974762685892E-16   0.1918648063627915E+01  -0.3465717381858678E+02
 -0.1000481708916468E+02   0.2857950988254353E-14   0.1931108949803003E+01  -0.3369232211001216E+02
 -0.1010536212021180E+02  -0.2711109964163546E-15   0.1943621586321503E+01  -0.3125612872593209E+02
 -0.1020691759484608E+02  -0.5973155549088085E-13   0.1956186254230758E+01  -0.3064496404374107E+02
 -0.1030949366768410E+02  -0.5028838859657836E-16   0.1968803236078346E+01  -0.3121533862511196E+02
 -0.1041310059539296E+02   0.6481520229632635E-13   0.1981472815917175E+01  -0.3059033210613668E+02
 -0.1051774873771578E+02   0.1086437721226306E-12   0.1994195279321425E+01  -0.3003851042398129E+02
 -0.1062344855850758E+02   0.1685589653848641E-16   0.2006970913392986E+01  -0.3494484582597743E+02
 -0.1073021062678163E+02   0.3134568003946297E-15   0.2019800006734425E+01  -0.3290702090364730E+02
 -0.1083804561776616E+02   0.9431723365558241E-17   0.2032682849515566E+01  -0.3535037091738040E+02
 -0.1094696431397188E+02   0.1771733165750602E-14   0.2045619733438833E+01  -0.3422317032205962E+02
 -0.1105697760627007E+02   0.6266992292474479E-17   0.2058610951761312E+01  -0.3535044746528438E+02
 -0.1116809649498158E+02  -0.2042129620168389E-16   0.2071656799283492E+01  -0.3465720441081585E+02
 -0.1128033209097677E+02   0.1593624407198567E-16   0.2084757572384951E+01  -0.3535013280659341E+02
 -0.1139369561678651E+02   0.2145183563009852E-16   0.2097913569011655E+01  -0.3512693328557413E+02
 -0.1150819840772429E+02   0.3220522230642405E-14   0.2111125088688185E+01  -0.3364885304614566E+02
 -0.1162385191301968E+02  -0.1006625291477052E-16   0.2124392432525002E+01  -0.3465732269961527E+02
 -0.1174066769696315E+02   0.1171240822782610E-16   0.2137715903225523E+01  -0.3433887950202822E+02
 -0.1185865744006236E+02   0.1630407636652371E-16   0.2151095805098056E+01  -0.3512712282247644E+02
 -0.1197783294021015E+02   0.1019743114778514E-14   0.2164532444043949E+01  -0.3453024247164534E+02
 -0.1209820611386418E+02   0.1140090233814472E-14   0.2178026127594428E+01  -0.3343777425746098E+02
 -0.1221978899723847E+02   0.2452930879929945E-16   0.2191577164897517E+01  -0.3494467362632775E+02
 -0.1234259374750696E+02   0.1789261503513974E-16   0.2205185866730617E+01  -0.3494484719557979E+02
 -0.1246663264401905E+02   0.4015751125257424-306   0.2218852545507951E+01  -0.7058179512017572E+03
 -0.1259191808952745E+02   0.1608520344121501E-16   0.2232577515287899E+01  -0.3535015961797126E+02
 -0.1271846261142836E+02  -0.4801100976516866E-15   0.2246361091780499E+01  -0.3482465443335796E+02
 -0.1284627886301410E+02   0.1125766891816023E-14   0.2260203592359400E+01  -0.3473838192110781E+02
 -0.1297537962473824E+02   0.2298006367813439E-16   0.2274105336050629E+01  -0.3374104070670215E+02
 -0.1310577780549364E+02   0.2679085773949747E-17   0.2288066643569168E+01  -0.3673665187170519E+02
 -0.1323748644390315E+02   0.1969860515698878E-14   0.2302087837306451E+01  -0.3368392123535167E+02
 -0.1337051870962340E+02  -0.1764287246520025E-15   0.2316169241343231E+01  -0.3442791530905870E+02
 -0.1350488790466157E+02   0.1570064627266676E-16   0.2330311181457077E+01  -0.3494490284033790E+02
 -0.1364060746470559E+02   0.9477319713152423E-17   0.2344513985130132E+01  -0.3604320401499580E+02
 -0.1377769096046743E+02  -0.1995758757245050E-15   0.2358777981556731E+01  -0.3299868295060987E+02
 -0.1391615209904019E+02   0.5078483564919596E-15   0.2373103501656221E+01  -0.3329755952975140E+02
 -0.1405600472526860E+02  -0.7700914236344884E-16   0.2387490878059909E+01  -0.3293008094444345E+02
 -0.1419726282313341E+02  -0.1040159126519631E-16   0.2401940445151021E+01  -0.3535037542735279E+02
 -0.1433994051714964E+02  -0.1492932322902232E-14   0.2416452539050402E+01  -0.3207897838693262E+02
 -0.1448405207377892E+02   0.2436868887827869E-16   0.2431027497630026E+01  -0.3494472759923941E+02
 -0.1462961190285601E+02  -0.2384024148955964E-16   0.2445665660520992E+01  -0.3443410836721704E+02
 -0.1477663455902962E+02  -0.5692596561375680E-15   0.2460367369121343E+01  -0.3421152054726011E+02
 -0.1492513474321777E+02   0.3223943291809496E-16   0.2475132966604118E+01  -0.3409764502088765E+02
 -0.1507512730407774E+02   0.2109242319220950E-16   0.2489962797925329E+01  -0.3417180287371924E+02
 -0.1522662723949080E+02   0.3822304530528957E-16   0.2504857209831953E+01  -0.3453924774998701E+02
 -0.1537964969806186E+02   0.2201181337318746E-15   0.2519816550875003E+01  -0.3645734374356550E+02
 -0.1553420998063417E+02  -0.1811074005408598E-16   0.2534841171397285E+01  -0.3425185317251324E+02
 -0.1569032354181931E+02   0.6754292435005139E-16   0.2549931423573013E+01  -0.3238007844505029E+02
 -0.1584800599154249E+02  -0.3029257409440225E-14   0.2565087661394196E+01  -0.3328359895398290E+02
 -0.1600727309660336E+02  -0.5072480144713660E-17   0.2580310240684705E+01  -0.3535047818387039E+02
 -0.1616814078225260E+02   0.2548746841431211E-15   0.2595599519108313E+01  -0.3257764357668344E+02
 -0.1633062513378427E+02   0.1190209543019051E-14   0.2610955856177131E+01  -0.3227918394194648E+02
 -0.1649474239814424E+02  -0.3779501289475771E-14   0.2626379613259827E+01  -0.3284083722374783E+02
 -0.1666050898555461E+02   0.2274311020294068E-16   0.2641871153590099E+01  -0.3374104653695923E+02
 -0.1682794147115476E+02   0.2083915974423622E-16   0.2657430842275073E+01  -0.3379234152538184E+02
 -0.1699705659665855E+02   0.1585263121395010E-16   0.2673059046303623E+01  -0.3479080562975571E+02
 -0.1716787127202844E+02   0.6655624655206321E-15   0.2688756134560069E+01  -0.3190802240986377E+02
 -0.1734040257716631E+02   0.6352806217982154E-15   0.2704522477812012E+01  -0.3223618212631246E+02
 -0.1751466776362127E+02  -0.4270057108460842E-16   0.2720358448750707E+01  -0.3396409716944429E+02
 -0.1769068425631463E+02   0.1035164719871706E-15   0.2736264421977830E+01  -0.3355844988931489E+02
 -0.1786846965528235E+02  -0.1042525736525445E-14   0.2752240774019746E+01  -0.3477690075334210E+02
 -0.1804804173743472E+02   0.1537855763337445E-14   0.2768287883336245E+01  -0.3443836063654584E+02
 -0.1822941845833407E+02  -0.3182646723070165E-16   0.2784406130329225E+01  -0.3443405805754912E+02
 -0.1841261795398994E+02   0.3894959427455534E-14   0.2800595897351550E+01  -0.3344478310312032E+02
 -0.1859765854267276E+02  -0.4018797071718084E-16   0.2816857568715823E+01  -0.3453927160566668E+02
 -0.1878455872674530E+02   0.3812592215728687E-16   0.2833191530703217E+01  -0.3417172104737678E+02
 -0.1897333719451287E+02  -0.8504125783057992E-16   0.2849598171572432E+01  -0.3355855842071069E+02
 -0.1916401282209191E+02   0.4731493543068842E-17   0.2866077881568664E+01  -0.3563815129695010E+02
 -0.1935660467529746E+02   0.3548384800173271E-17   0.2882631052937850E+01  -0.3604360700248039E+02
 -0.1955113201154957E+02  -0.3626501550682724E-16   0.2899258079913793E+01  -0.3479049854112939E+02
 -0.1974761428179885E+02   0.1530243255718237E-14   0.2915959358761217E+01  -0.3251001490531718E+02
 -0.1994607113247138E+02  -0.5679520640426570E-17   0.2932735287761478E+01  -0.3443421084843066E+02
 -0.2014652240743319E+02   0.3528795643811647E-16   0.2949586267227867E+01  -0.3465708241681234E+02
 -0.2034898814997442E+02   0.2362842496147421E-16   0.2966512699514683E+01  -0.3494482257264212E+02
 -0.2055348860481360E+02  -0.1731259705278790E-16   0.2983514989026653E+01  -0.3535024460733857E+02
 -0.2076004422012173E+02  -0.3750732905080043E-16   0.3000593542228082E+01  -0.3465705481338255E+02
 -0.2096867564956711E+02  -0.6689677051590594E-16   0.3017748767652364E+01  -0.3433839810515038E+02
 -0.2117940375438036E+02  -0.1584638200255251E-16   0.3034981075911311E+01  -0.3453953383931886E+02
 -0.2139224960544048E+02  -0.1995241231201612E-16   0.3052290879704552E+01  -0.3465727520808429E+02
 -0.2160723448538160E+02   0.1148029058812922E-16   0.3069678593829119E+01  -0.3494499220680043E+02
 -0.2182437989072121E+02  -0.1827968199722947E-16   0.3087144635188966E+01  -0.3384641516120019E+02
 -0.2204370753400952E+02   0.1284893062326524E-16   0.3104689422804528E+01  -0.3465732519073634E+02
 -0.2226523934600050E+02  -0.2968994209155665E-15   0.3122313377822450E+01  -0.3199178179917794E+02
 -0.2248899747784479E+02  -0.2617617206333479E-14   0.3140016923530194E+01  -0.3413879339640894E+02
