 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.515786271031614     ,
 NU      =  5.000000000000000E-002,
 FAL     =  0.990000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.343451209373083     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =  -0.515786271031614     
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.4419784553882672E-01   0.7057617130396272E-13  -0.1227960188443759E+01           200            23  -0.40450027E+02
 -0.4375586708343845E-01   0.2705878682813816-115  -0.1230868340209379E+01           200            23  -0.27631230E+03
 -0.4331830841260407E-01  -0.2811216458570658-115  -0.1233772128369029E+01           200            23  -0.27631398E+03
 -0.4288512532847803E-01   0.2922012366559167-115  -0.1236671567640544E+01           200            23  -0.27631513E+03
 -0.4245627407519324E-01  -0.9800716829965796E-12  -0.1239566672535797E+01           200            23  -0.37978439E+02
 -0.4203171133444131E-01  -0.3790726331878030E-11  -0.1242457457584897E+01           200            23  -0.36665454E+02
 -0.4161139422109689E-01  -0.5486755651882768E-11  -0.1245343937204616E+01           200            23  -0.36335323E+02
 -0.4119528027888592E-01  -0.1373520727241689E-10  -0.1248226125748220E+01           200            24  -0.35486054E+02
 -0.4078332747609707E-01  -0.1545488194681677E-11  -0.1251104037577431E+01           200            24  -0.37711063E+02
 -0.4037549420133609E-01  -0.6468871262432208E-12  -0.1253977686853846E+01           200            24  -0.38622318E+02
 -0.3997173925932273E-01  -0.3992401486877172-115  -0.1256847087774780E+01           200            24  -0.27631147E+03
 -0.3957202186672950E-01  -0.4157956336786476-115  -0.1259712254419449E+01           200            24  -0.27631106E+03
 -0.3917630164806220E-01  -0.3359055267843743E-13  -0.1262573200824531E+01           200            24  -0.34947273E+02
 -0.3878453863158158E-01   0.2017473582998671E-11  -0.1265429940984326E+01           200            24  -0.37645680E+02
 -0.3839669324526576E-01   0.2849233995105079E-11  -0.1268282488781017E+01           200            24  -0.37340541E+02
 -0.3801272631281311E-01   0.4871195366873651-115  -0.1271130858051929E+01           200            24  -0.27631311E+03
 -0.3763259904968497E-01  -0.5734858864468480E-11  -0.1273975062612256E+01           200            24  -0.36721001E+02
 -0.3725627305918813E-01   0.5283611344947296-115  -0.1276815116122929E+01           200            24  -0.27631171E+03
 -0.3688371032859625E-01  -0.5485979512013164-115  -0.1279651032266491E+01           200            24  -0.27631398E+03
 -0.3651487322531029E-01   0.1758993012689204E-11  -0.1282482824607006E+01           200            24  -0.38022389E+02
 -0.3614972449305719E-01  -0.5930652319676949-115  -0.1285310506665647E+01           200            24  -0.27631560E+03
 -0.3578822724812662E-01  -0.6733805269240904E-15  -0.1288134091898459E+01           200            24  -0.35356441E+02
 -0.3543034497564535E-01  -0.6431588092388982-115  -0.1290953593760519E+01           200            24  -0.27631386E+03
 -0.3507604152588890E-01   0.2065679571299707E-11  -0.1293769025522193E+01           200            24  -0.38020370E+02
