 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.429332071049662     ,
 FAL     =  0.999000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.428729187234464     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =       10000,
 IW      =          10
 $END
 alpha                    wr                       wi                       funk                    
 -0.4845934614033245E-01   0.5082776700081598E-18  -0.1239909923389213E+01  -0.3604362576360813E+02
 -0.4797692754454817E-01  -0.1444642784227680E-17  -0.1242988794057160E+01  -0.3535045025876929E+02
 -0.4749931148367396E-01   0.5105753098820827E-17  -0.1246063271225483E+01  -0.3672570996964802E+02
 -0.4702645014789950E-01   0.1769304509038056E-16  -0.1249133369743953E+01  -0.3534213587916455E+02
 -0.4655829620336686E-01   0.2633819592483505-307  -0.1252199104392423E+01  -0.7071110090865327E+03
 -0.4609480278743230E-01   0.7659502632950055E-18  -0.1255260489881226E+01  -0.3604358975686315E+02
 -0.4563592350397539E-01  -0.8326587045021040E-16  -0.1258317540851567E+01  -0.3519052234046499E+02
 -0.4518161241875454E-01  -0.6345940416216657-306  -0.1261370271875914E+01  -0.7038595894629024E+03
 -0.4473182405480911E-01  -0.9506180997039194E-16  -0.1264418697458383E+01  -0.3498993699320639E+02
 -0.4428651338790703E-01  -0.4257635165009059E-17  -0.1267462832035128E+01  -0.3512704458476915E+02
 -0.4384563584203782E-01  -0.1144578771128444E-17  -0.1270502689974724E+01  -0.3563812423260228E+02
 -0.4340914728495059E-01  -0.1068222026868562E-16  -0.1273538285578545E+01  -0.3465657287610806E+02
 -0.4297700402373621E-01   0.0000000000000000E+00  -0.1276569633081141E+01  -0.1200000000000000E+03
 -0.4254916280045378E-01   0.1649979599777835E-17  -0.1279596746650620E+01  -0.3604335146422942E+02
 -0.4212558078780033E-01  -0.1384184311826206E-17  -0.1282619640389018E+01  -0.3535045292562681E+02
 -0.4170621558482385E-01   0.7554781246317379E-16  -0.1285638328332670E+01  -0.3592280759675509E+02
 -0.4129102521267888E-01  -0.3464702907922093E-17  -0.1288652824452579E+01  -0.3535017060728008E+02
 -0.4087996811042435E-01   0.2623953204832967-307  -0.1291663142654783E+01  -0.7071062575290405E+03
 -0.4047300313086340E-01  -0.7997824317344061E-16  -0.1294669296780722E+01  -0.3487087662481285E+02
 -0.4007008953642442E-01   0.1591529261330034E-15  -0.1297671300607594E+01  -0.3459946123858376E+02
 -0.3967118699508321E-01  -0.8791583558307701E-18  -0.1300669167848721E+01  -0.3535048435298842E+02
 -0.3927625557632568E-01   0.6114313791906906E-16  -0.1303662912153903E+01  -0.3475742203528385E+02
 -0.3888525574715081E-01   0.3052772000408337-307  -0.1306652547109774E+01  -0.7069519035061975E+03
 -0.3849814836811336E-01  -0.1402205840485269E-17  -0.1309638086240154E+01  -0.3535045015380965E+02
 -0.3811489468940592E-01   0.6202218151255684E-16  -0.1312619543006402E+01  -0.3598263247678933E+02
 -0.3773545634698004E-01   0.1493800444156366E-17  -0.1315596930807764E+01  -0.3563807457094462E+02
 -0.3735979535870604E-01  -0.2906344895659941E-16  -0.1318570262981719E+01  -0.3686296756337421E+02
 -0.3698787412057083E-01  -0.3885074665906952E-17  -0.1321539552804320E+01  -0.3479074838085032E+02
 -0.3661965540291379E-01  -0.3937246505030990E-18  -0.1324504813490543E+01  -0.3604363546801468E+02
 -0.3625510234670004E-01   0.7735658578084051E-16  -0.1327466058194621E+01  -0.3487335874055091E+02
 -0.3589417845983080E-01  -0.9343879646142837E-16  -0.1330423300010385E+01  -0.3548942949697599E+02
 -0.3553684761349051E-01  -0.1410897792363911E-17  -0.1333376551971599E+01  -0.3604342143661990E+02
 -0.3518307403853028E-01  -0.3705569536220242E-17  -0.1336325827052292E+01  -0.3535010519986757E+02
 -0.3483282232188742E-01   0.3298568888372531E-17  -0.1339271138167090E+01  -0.3535018757035689E+02
